WEAPON SOURCE COUNTRY,Location.Cordinates.Latitude,Location.Cordinates.Longitude,Data.Yeild.Upper,Data.Name,Date.Year
USA,11.3,162.15,11.6,Tobacco,1958
USA,11.35,165.2,92,Sycamore,1958
USA,11.3,162.15,15,Rose,1958
USA,11.3,162.15,8,Umbrella,1958
USA,11.35,165.2,213,Maple,1958
USA,11.35,165.2,319,Aspen,1958
USA,11.3,162.15,1450,Walnut,1958
USA,11.3,162.15,11,Linden,1958
USA,11.35,165.2,412,Redwood,1958
USA,11.3,162.15,880,Elder,1958
USA,11.3,162.15,8900,Oak,1958
USA,11.35,165.2,14,Hickory,1958
USA,11.3,162.15,5.2,Sequoia,1958
USA,11.35,165.2,220,Cedar,1958
USA,11.3,162.15,397,Dogwood,1958
USA,11.35,165.2,9300,Poplar,1958
USA,11.3,162.15,0,Scaevola,1958
USA,11.3,162.15,255,Pisonia,1958
USA,11.35,165.2,65,Juniper,1958
USA,11.3,162.15,202,Olive,1958
USA,11.3,162.15,2000,Pine,1958
USA,16.45,-169.32,3800,Teak,1958
USA,11.3,162.15,0,Quince,1958
USA,16.45,-169.32,3800,Orange,1958
USA,11.3,162.15,0.02,Fig,1958
UK,2,-157,24,Grapple Z,1958
USA,-38.5,-11.5,2,Argus:I,1958
USA,-49.5,-8.2,2,Argus:Ii,1958
UK,2,-157,1000,Grapple,1958
USA,-48.5,-9.7,2,Argus:Iii,1958
UK,2,-157,800,Grapple Z,1958
USA,37,-116,0.038,Otero,1958
USA,37,-116,0.015,Bernalillo,1958
USA,37,-116,0.083,Eddy,1958
USA,37,-116,0.0015,Luna,1958
UK,2,-157,25,Grapple Z,1958
USA,37,-116,0,Mercury,1958
USA,37,-116,0.002,Valencia,1958
USA,37,-116,0.013,Mars,1958
USA,37,-116,2,Mora,1958
USSR,73,55,1200,Nan,1958
USSR,73,55,900,Nan,1958
USSR,73,55,290,Nan,1958
USSR,73,55,40,Nan,1958
USSR,73,55,9,Nan,1958
USSR,73,55,15,Nan,1958
USA,37,-116,0.077,Hidalgo,1958
USA,37,-116,0.0055,Colfax,1958
USSR,73,55,5.5,Nan,1958
USA,37,-116,0.072,Tamalpais,1958
USSR,73,55,68,Nan,1958
USA,37,-116,0.079,Quay,1958
USSR,73,55,1450,Nan,1958
USA,37,-116,1.4,Lea,1958
USA,37,-116,0.115,Neptune,1958
USSR,73,55,1500,Nan,1958
USA,37,-116,0.0012,Hamilton,1958
USA,37,-116,5,Logan,1958
USA,37,-116,0.037,Dona Ana,1958
USA,37,-116,0.024,Vesta,1958
USSR,73,55,2900,Nan,1958
USA,37,-116,0.09,Rio Arriba,1958
USSR,73,55,40,Nan,1958
USSR,73,55,0.001,Nan,1958
USSR,73,55,440,Nan,1958
USA,37,-116,0,San Juan,1958
USSR,73,55,2,Nan,1958
USSR,73,55,2800,Nan,1958
USA,37,-116,6,Socorro,1958
USA,37,-116,0.115,Wrangell,1958
USA,37,-116,0.188,Rushmore,1958
USA,37,-116,0,Oberon,1958
USSR,73,55,1000,Nan,1958
USA,37,-116,0.021,Catron,1958
USA,37,-116,0.0017,Juno,1958
USSR,73,55,190,Nan,1958
USSR,73,55,0.1,Nan,1958
USA,37,-116,0.0007,Ceres,1958
USA,37,-116,4.9,Sanford,1958
USA,37,-116,2.2,Debaca,1958
USA,37,-116,0.0006,Chavez,1958
USA,37,-116,0.055,Evans,1958
USA,37,-116,0.0078,Humboldt,1958
USA,37,-116,0,Mazama,1958
USA,37,-116,1.3,Santa Fe,1958
USA,37,-116,22,Blanca,1958
USA,37,-116,0.0002,Titania,1958
USA,37,-116,0,Ganymede,1958
USSR,48,46,10,Nan,1958
USSR,48,46,10,Nan,1958
FRANCE,26.19,-0.04,200,Gerboise Bleue,1960
FRANCE,26,-0.09,20,Gerboiseblanche,1960
FRANCE,26,-0.1,20,Gerboise Rouge,1960
FRANCE,26,-0.1,20,Gerboise Verte,1961
USSR,50,78,16,Nan,1961
USSR,50,78,9,Nan,1961
USSR,50,78,16,Nan,1961
USSR,48.45,44.3,11,Nan,1961
USSR,50,78,1.1,Nan,1961
USSR,50,78,0.38,Nan,1961
USSR,74.2,52.5,2700,Nan,1961
USSR,73,55,12,Nan,1961
USSR,50,78,0.88,Nan,1961
USSR,50,78,0.3,Nan,1961
USSR,74.2,52.1,1150,Nan,1961
USSR,73,55,6,Nan,1961
USSR,50,78,20,Nan,1961
USSR,50,78,0.4,Nan,1961
USSR,74.6,51.1,1200,Nan,1961
USA,37,-116,2.6,Antler,1961
USSR,74,51.9,830,Nan,1961
USA,37,-116,20,Shrew,1961
USSR,50,78,150,Nan,1961
USSR,74,52,1000,Nan,1961
USSR,50,78,0.004,Nan,1961
USSR,50,78,0.75,Nan,1961
USSR,50,78,0.03,Nan,1961
USSR,50,78,4.8,Nan,1961
USSR,73,55,1500,Nan,1961
USSR,50,78,0.8,Nan,1961
USSR,73,55,260,Nan,1961
USSR,50,78,1.2,Nan,1961
USSR,50,78,3,Nan,1961
USA,37,-116,20,Boomer,1961
USSR,73,55,250,Nan,1961
USSR,50,78,13,Nan,1961
USSR,73.7,53.8,10000,Nan,1961
USSR,74.3,51.6,4000,Nan,1961
USSR,48,46,40,Nan,1961
USSR,73,55,15,Nan,1961
USA,37,-116,20,Chena,1961
USSR,50,77.7,1,Nan,1961
USSR,50,78,15,Nan,1961
USSR,50,78,6.6,Nan,1961
USSR,50,78,20,Nan,1961
USSR,73.8,53.2,1450,Nan,1961
USSR,73.9,53.8,12500,Nan,1961
USSR,70.7,53.5,4.8,Nan,1961
USSR,73,55,300,Nan,1961
USSR,50,78,0.5,Nan,1961
USSR,70.7,53.5,16,Nan,1961
USSR,48,46,1.2,Nan,1961
USSR,48,46,1.2,Nan,1961
USA,37,-116,20,Mink,1961
USSR,50,78,0.09,Nan,1961
USSR,73.8,53.5,50000,Nan,1961
USSR,73.6,56.2,5000,Nan,1961
USSR,75.1,56.7,1500,Nan,1961
USSR,50,78,2.7,Nan,1961
USSR,73,55,120,Nan,1961
USSR,73,55,280,Nan,1961
USSR,50,78,0.6,Nan,1961
USSR,50,78,0.001,Nan,1961
USSR,50,78,0.9,Nan,1961
USSR,73,55,15,Nan,1961
USSR,73.7,55.7,1500,Nan,1961
USSR,73,55,6,Nan,1961
USSR,50,78,0.2,Nan,1961
FRANCE,24,5,20,Agathe,1961
USA,37,-116,13.4,Fisher,1961
USA,32.25,-104.14,3,Gnome,1961
USA,37,-116,0.5,Mad,1961
USA,37,-116,20,Ringtail,1961
USA,37,-116,0.15,Feather,1961
USA,37,-116.2,5.1,Stoat,1962
USA,36.7,-116.1,6.4,Agouti,1962
USA,37,-116,20,Dormouse,1962
USSR,49.7,78.1,20,Nan,1962
USA,37,-116,3.07,Stillwater,1962
USA,37,-116,7.1,Armadillo,1962
USA,37,-116,5.7,Hardhat,1962
USA,37,-116,1.9,Chinchilla,1962
USA,37,-116,20,Codsaw,1962
USA,37,-116,11.9,Cimarron,1962
USA,37,-116,20,Platypus,1962
UK,37,-116,9.5,Pampas,1962
USA,37,-116,0.43,Danny Boy,1962
USA,37,-116,20,Ermine,1962
USA,37,-116,8.4,Brazos,1962
USA,37,-116,20,Hognose,1962
USA,37,-116,3.4,Hoosic,1962
USA,37,-116,20,Chinchilla:Ii,1962
USA,37,-116,10.6,Dormouse Prime,1962
USA,37,-116,20,Passaic,1962
USA,37,-116,20,Hudson,1962
USA,37,-116,1.85,Platte,1962
USA,37,-116,20,Dead,1962
USA,2,-157,190,Adobe,1962
USA,2,-157,410,Aztec,1962
USA,37,-116,20,Black,1962
FRANCE,23.8,5.4,150,Beryl,1962
USA,2,-157,1090,Arkansas,1962
USA,2,-157,670,Questa,1962
USA,37.046,-116.025,20,Paca,1962
USA,2,-157,100,Yukon,1962
USA,2,-157,100,Mesilla,1962
USA,37,-116,20,Arikaree,1962
USA,2,-157,50,Muskegon,1962
USA,31.233,-124.217,20,Swordfish,1962
USA,2,-157,500,Encino,1962
USA,37.065,-116.03,40,Aardvark,1962
USA,2,-157,97,Swanee,1962
USA,37.122,-116.047,4.5,Eel,1962
USA,2,-157,73,Chetco,1962
USA,37.125,-116.052,20,White,1962
USA,2,-157,2.6,Tanana,1962
USA,2,-157,43,Nambe,1962
USA,37,-116,20,Raccoon,1962
USA,37,-116,20,Packrat,1962
USA,2,-157,782,Alma,1962
USA,2,-157,210,Truckee,1962
USA,2,-157,3000,Yeso,1962
USA,2,-157,1200,Harlem,1962
USA,37,-116,2.9,Des Moines,1962
USA,2,-157,800,Rinconada,1962
USA,2,-157,52,Dulce,1962
USA,2,-157,2.2,Petit,1962
USA,37,-116,20,Daman: I,1962
USA,2,-157,81.5,Otowi,1962
USA,2,-157,7650,Bighorn,1962
USA,37,-116,67,Haymaker,1962
USA,37,-116,20,Marshmallow,1962
USA,2,-157,1270,Bluestone,1962
USA,37,-116,20,Sacramento,1962
USA,37.177,-116.045,104,Sedan,1962
USA,37,-116,20,Littlefeller:Ii,1962
USA,16.45,-169.32,1400,Starfish Prime,1962
USA,2,-157,1000,Sunset,1962
USA,2,-157,3880,Pamlico,1962
USA,37,-116,0.5,Johnnie Boy,1962
USA,37.055,-116.033,200,Merrimac,1962
USA,36.8,-115.925,20,Smallboy,1962
USA,37,-116,20,Littlefeller:!,1962
USA,37.13,-116.064,20,Wichita,1962
USSR,50,78,2.4,Nan,1962
USSR,50,78,1.6,Nan,1962
USSR,50,78,3.8,Nan,1962
USSR,74.2,52.5,21100,Nan,1962
USSR,50,78,9.9,Nan,1962
USSR,73,55,1500,Nan,1962
USSR,50,78,7.4,Nan,1962
USSR,50,78,5.8,Nan,1962
USSR,74.3,51.5,2800,Nan,1962
USSR,50,78,150,Nan,1962
USSR,74,53.3,1600,Nan,1962
USSR,73,55,6,Nan,1962
USSR,50,78,3,Nan,1962
USSR,50,78,2.5,Nan,1962
USA,37.13,-116.009,20,York,1962
USA,37.046,-116.024,20,Bobac,1962
USSR,50,78,20,Nan,1962
USSR,73,55,10000,Nan,1962
USSR,74.7,50.3,4200,Nan,1962
USSR,50,78,11,Nan,1962
USSR,50,78,2.7,Nan,1962
USSR,73,55,80,Nan,1962
USA,37,-116,20,Raritan,1962
USSR,73.7,53.8,1900,Nan,1962
USA,37,-116,20,Hyrax,1962
USSR,74.4,51.5,3100,Nan,1962
USSR,74.2,51.6,3250,Nan,1962
USSR,73.2,54.7,1350,Nan,1962
USSR,73.8,53.8,10000,Nan,1962
USA,37,-116,20,Peba,1962
USSR,73,55,2400,Nan,1962
USSR,50,78,0.21,Nan,1962
USSR,50,78,1.2,Nan,1962
USSR,50,78,7,Nan,1962
USSR,73.7,55,19100,Nan,1962
USSR,74.3,52.4,50000,Nan,1962
USSR,50,78,1.3,Nan,1962
USA,37,-116,20,Allegheny,1962
USA,16.45,-169.32,75,Androscoggin,1962
USA,37,-116,115,Mississippi,1962
USA,16.45,-169.32,11.3,Bumping,1962
USSR,73,55,320,Nan,1962
USSR,50,78,8,Nan,1962
USSR,73,55,15,Nan,1962
USSR,50,78,9.2,Nan,1962
USA,37,-116,20,Roanoke,1962
USA,37,-116,20,Wolverine,1962
USSR,50,78,4.9,Nan,1962
USSR,50,78,20,Nan,1962
USA,16.45,-169.32,1590,Chama,1962
USA,37,-116,20,Tioga,1962
USA,37,-116,12.5,Bandicoot,1962
USSR,50,78,6.7,Nan,1962
USA,16.45,-169.32,20,Checkmate,1962
USSR,48,46,300,Nan,1962
USSR,73.4,54.9,8200,Nan,1962
USA,16.45,-169.32,1000,Bluegill:3 Prim,1962
USSR,73,55,260,Nan,1962
USA,37,-116,20,Santee,1962
USA,16.45,-169.32,800,Calamity,1962
USSR,50,78,7.8,Nan,1962
USSR,48,46,300,Nan,1962
USSR,50,78,7.8,Nan,1962
USSR,73,55,360,Nan,1962
USSR,50,78,1.2,Nan,1962
USSR,73,55,280,Nan,1962
USA,16.45,-169.32,8300,Housatonic,1962
USSR,50,78,10,Nan,1962
USSR,50,78,3,Nan,1962
USSR,73,55,240,Nan,1962
USSR,48,46,300,Nan,1962
USA,16.45,-169.32,1000,Kingfish,1962
USSR,73,55,390,Nan,1962
USSR,73,55,45,Nan,1962
USSR,50,78,4.7,Nan,1962
USSR,50,78,8.4,Nan,1962
USA,16.45,-169.32,20,Tightrope,1962
USSR,50,78,0.4,Nan,1962
USA,37,-116,20,St.Lawrence,1962
USSR,50,78,0.1,Nan,1962
USSR,50,78,0.001,Nan,1962
USSR,50,78,12,Nan,1962
USA,37,-116,20,Gundi,1962
USSR,50,78,18,Nan,1962
USSR,50,78,0.001,Nan,1962
USSR,50,78,0.031,Nan,1962
USA,37,-116,20,Anacostia,1962
USSR,50,78,2.4,Nan,1962
USA,37,-116,20,Taunton,1962
UK,37.1,-116,20,Tendrac,1962
USA,74.3,52.4,20,Madison,1962
USA,37,-116,20,Numbat,1962
USA,37,-116,20,Manatee,1962
USSR,73,55,110,Nan,1962
USSR,73,55,69,Nan,1962
USSR,73,55,8.3,Nan,1962
USSR,73,55,6.3,Nan,1962
USSR,73,55,430,Nan,1962
USSR,73,55,8.3,Nan,1962
USSR,73,55,2.4,Nan,1962
USSR,50,78,0.001,Nan,1962
USSR,50,78,0.007,Nan,1962
USSR,50,78,0.028,Nan,1962
USSR,74.2,52.3,24200,Nan,1962
USSR,73.6,57.5,1100,Nan,1962
USSR,73.4,56.5,3100,Nan,1962
USSR,73,55,8.5,Nan,1962
USA,37,-116,20,Casselman,1963
USA,37,-116,20,Acushi,1963
USA,37,-116,20,Ferret,1963
USA,37,-116,20,Hatchie,1963
USA,37,-116,20,Chipmunk,1963
USA,37,-116,20,Carmel,1963
USA,37,-116,20,Kaweah,1963
USA,37,-116,20,Jerboa,1963
USA,37,-116,20,Toyah,1963
FRANCE,24,5,20,Emeraude,1963
USA,37,-116,20,Gerbil,1963
FRANCE,24,5,5,Amethyste,1963
USA,37,-116,20,Ferret Prime,1963
USA,37,-116,20,Coypu,1963
USA,37,-116,20,Cumberland,1963
USA,37,-116,20,Kootanai,1963
USA,37,-116,20,Paisano,1963
USA,37,-116,20,Gundi Prime,1963
USA,37,-115,0,Double Tracks,1963
USA,37,-116,20,Harkee,1963
USA,37,-116,20,Tejon,1963
USA,37.1,-116,200,Stones,1963
USA,37,-115,0,Clean Slate:I,1963
USA,37,-116,20,Pleasant,1963
USA,37,-115,0,Clean Slate:Ii,1963
USA,37.2,-116.2,3.1,Yuba,1963
USA,37,-116,20,Hutia,1963
USA,37,-116,20,Apshapa,1963
USA,37,-115,0,Clean Slate:Iii,1963
USA,37,-116,20,Mataco,1963
USA,37.1,-116.1,20,Kennebec,1963
USA,37,-116,20,Pekan,1963
USA,37,-116,20,Satsop,1963
USA,37,-116,20,Natches/Kohocto,1963
USA,37.2,-116.1,20,Ahtanum,1963
USA,37.1,-116,249,Eilby,1963
USA,37,-116,20,Carp,1963
USA,37,-116,20,Narraguagus,1963
USA,37,-116,20,Grunion,1963
USA,37,-116,20,Tornillo,1963
USA,37,-116,200,Clearwater,1963
USA,37,-116,20,Mullet,1963
FRANCE,24.1,5.1,150,Rubis,1963
USA,39.2,-118.38,12,Shoal,1963
USA,37,-116,20,Anchovy,1963
USA,37.1,-116,20,Mustang,1963
USA,37.1,-116,200,Greys,1963
USA,36.9,-116.3,20,Sardine/Barracu,1963
USA,37.1,-115.9,5.3,Eagle,1963
USA,37,-116,20,Tuna,1963
USA,37.1,-116,200,Fore,1964
USA,37.1,-116,10.5,Ocokto,1964
USA,37,-116,20,Club,1964
USA,37,-116,20,Solendon,1964
USA,37,-116,20,Bunker,1964
FRANCE,24.054,5.053,5,Opale,1964
USA,37,-116,20,Bonefish,1964
USA,37,-116,20,Mackarel,1964
USA,37.2,-116,200,Klickitat,1964
USA,37,-116,20,Handicap,1964
USA,37.1,-116,20,Pike,1964
USSR,49.7,78,150,Nan,1964
USA,37.1,-116,20,Hook,1964
USA,37,-116,20,Sturgeon,1964
USA,37,-116,20,Bogey,1964
USA,37.1,-116.1,200,Turf,1964
USA,37,-116,20,Pipefish,1964
USA,37,-116,20,Driver,1964
USA,37.1,-116,20,Backswing,1964
USA,37,-116.1,20,Minnow,1964
USSR,49.9,78.3,150,Nan,1964
USSR,50,78,20,Nan,1964
USA,37.2,-116.1,20,Ace,1964
USA,37,-116,20,Bitterling,1964
FRANCE,24.067,5.034,5,Topaze,1964
USA,37,-116,20,Duffer,1964
USA,37.1,-116.1,20,Fade,1964
USA,37.2,-116.1,20,Dub,1964
USA,37.2,-116.1,200,Bye,1964
UK,37,-116,20,Cormorant,1964
USSR,49.9,78.1,150,Nan,1964
USA,37,-116,20,Links,1964
USA,37,-116,20,Trogon,1964
USSR,50,78,20,Nan,1964
USA,37.2,-116.1,4.4,Alva,1964
USA,37.1,-116,20,Canvasback,1964
USA,37,-116,20,Player,1964
USA,37.1,-116,20,Haddock,1964
USA,37,-116,20,Guanay,1964
USA,37,-116,20,Spoon,1964
USSR,72.9,55.2,20,Nan,1964
UK,37,-116,0,Courser,1964
USSR,50,78,20,Nan,1964
USA,37,-116,20,Auk,1964
USA,37,-116,38,Par,1964
CHINA,41.5,89,22,Nan,1964
USA,37,-116,20,Barbelturnstone,1964
USA,31,-89,5.3,Salmon,1964
USA,37,-116,20,Garden,1964
USSR,73.5,53.7,20,Nan,1964
USA,37,-116,20,Forest,1964
USA,37.2,-116.1,12,Handcar,1964
USSR,49.7,78,150,Nan,1964
FRANCE,24.042,5.041,20,Turquoise,1964
USA,37.1,-116.1,200,Crepe,1964
USA,37.1,-116.1,20,Drill,1964
USA,37,-116,1.3,Parrot,1964
USA,37,-116.1,2.7,Mudpack,1964
USA,37,-116,20,Cassowaryhoopoe,1964
USA,37,-116.3,0.092,Sulky,1964
USA,37.07,-116.01,20,Wool,1965
USSR,49.88,78.96,140,Chagan,1965
USA,37,-116,20,Tern,1965
USSR,50,78,20,Nan,1965
USA,37.07,-116.03,20,Cashmere,1965
USA,37,-116,0.33,Alpaca,1965
USA,36.99,-116,10.1,Merlin,1965
USA,36.72,-115.94,20,Wishbone,1965
USA,37,-116,20,Seersucker,1965
FRANCE,24.16,5.03,150,Saphir,1965
USSR,49.81,78.13,20,Nan,1965
USA,37.01,-116.08,200,Wagtail,1965
USA,37,-116,20,Suede,1965
USA,37.11,-116.09,200,Cup,1965
USSR,50,78,20,Nan,1965
USSR,53,56,2.3,Butan 1+2,1965
USA,36.95,-116.08,20,Kestrel,1965
USA,37.26,-116.54,4.3,Palanquin,1965
USA,36.97,-116.23,20,Gum Drop,1965
USA,37,-116,20,Chenille,1965
USA,36.96,-115.94,20,Muscovy,1965
USA,37.14,-116.1,7,Tee,1965
USSR,49.79,78.12,20,Nan,1965
USA,37.2,-116.5,20,Buteo,1965
CHINA,41.5,89,35,Nan,1965
USA,37.07,-116.05,20,Scaup,1965
USA,37,-116,0.75,Cambrio,1965
USA,37.07,-116.04,20,Tweed,1965
FRANCE,24,5,5,Jade,1965
USSR,53,56,7.6,Butan,1965
USA,37,-116.05,1.3,Petrel,1965
USA,37,-116,20,Organdy,1965
USA,36.83,-116.06,20,Diluted Waters,1965
USSR,49.83,78.17,20,Nan,1965
USA,37,-116,20,Tinytot,1965
USA,37,-116,20,Izzep.,1965
USA,37,-116,20,Pongee,1965
USA,37.06,-116.03,200,Bronze,1965
USSR,50.4,77.9,20,Nan,1965
USA,37.02,-116.11,20,Mauve,1965
USA,37,-116,20,Ticking,1965
USA,37.08,-116.04,20,Centaur,1965
USA,36.98,-115.99,20,Moa/Screamer,1965
UK,36.98,-115.99,200,Charcoal,1965
USSR,49.78,78.15,20,Nan,1965
